team,url
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
Leeds United,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
Sheffield Utd,https://fbref.com/en/squads/1df6b87e/Sheffield-United-Stats
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
